,Area,Element,Item,Unit,Value,kg_per_animal,animal
38272,Türkiye,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1500.0,150.0,horse
38300,Türkiye,Yield/Carcass Weight,"Meat of buffalo, fresh or chilled",100,2181.0,218.1,buffalo
38305,Türkiye,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2870.0,287.0,cattle
38308,Türkiye,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,17941.0,1.7941,chicken
38311,Türkiye,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,13000.0,1.3,duck
38314,Türkiye,Yield/Carcass Weight,"Meat of geese, fresh or chilled",0.1,25000.0,2.5,"Meat of geese, fresh or chilled"
38317,Türkiye,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,190.0,19.0,goat
38322,Türkiye,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,10000.0,1.0,"Meat of rabbits and hares, fresh or chilled"
38325,Türkiye,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,227.0,22.7,sheep
38328,Türkiye,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,95911.0,9.5911,"Meat of turkeys, fresh or chilled"
38601,Turkmenistan,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,2822.0,282.2,"Meat of camels, fresh or chilled"
38604,Turkmenistan,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1617.0,161.7,cattle
38607,Turkmenistan,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,16078.0,1.6078000000000001,chicken
38610,Turkmenistan,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,188.0,18.8,goat
38613,Turkmenistan,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,556.0,55.6,pig
38616,Turkmenistan,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,200.0,20.0,sheep
38716,Tuvalu,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,9666.0,0.9666,chicken
38720,Tuvalu,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,303.0,30.3,pig
38792,Uganda,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1553.0,155.3,cattle
38795,Uganda,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,13377.0,1.3377000000000001,chicken
38798,Uganda,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,105.0,10.5,goat
38801,Uganda,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,614.0,61.4,pig
38804,Uganda,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,123.0,12.3,sheep
39028,Ukraine,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,2248.0,224.8,horse
39050,Ukraine,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1676.0,167.6,cattle
39053,Ukraine,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,18427.0,1.8427,chicken
39056,Ukraine,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,20075.0,2.0075,duck
39059,Ukraine,Yield/Carcass Weight,"Meat of geese, fresh or chilled",0.1,19180.0,1.918,"Meat of geese, fresh or chilled"
39062,Ukraine,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,140.0,14.0,goat
39065,Ukraine,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,886.0,88.6,pig
39068,Ukraine,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,13245.0,1.3245,"Meat of rabbits and hares, fresh or chilled"
39071,Ukraine,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,170.0,17.0,sheep
39074,Ukraine,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,46522.0,4.6522,"Meat of turkeys, fresh or chilled"
39310,United Arab Emirates,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,1800.0,180.0,"Meat of camels, fresh or chilled"
39313,United Arab Emirates,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2500.0,250.0,cattle
39316,United Arab Emirates,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,11877.0,1.1877,chicken
39319,United Arab Emirates,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,160.0,16.0,goat
39322,United Arab Emirates,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,180.0,18.0,sheep
39466,United Kingdom of Great Britain and Northern Ireland,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1526.0,152.6,horse
39479,United Kingdom of Great Britain and Northern Ireland,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,3284.0,328.4,cattle
39482,United Kingdom of Great Britain and Northern Ireland,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,16090.0,1.609,chicken
39485,United Kingdom of Great Britain and Northern Ireland,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,21071.0,2.1071,duck
39488,United Kingdom of Great Britain and Northern Ireland,Yield/Carcass Weight,"Meat of geese, fresh or chilled",0.1,46809.0,4.6809,"Meat of geese, fresh or chilled"
39491,United Kingdom of Great Britain and Northern Ireland,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,913.0,91.3,pig
39494,United Kingdom of Great Britain and Northern Ireland,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,209.0,20.9,sheep
39497,United Kingdom of Great Britain and Northern Ireland,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,118182.0,11.818200000000001,"Meat of turkeys, fresh or chilled"
39703,United Republic of Tanzania,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1393.0,139.3,cattle
39706,United Republic of Tanzania,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,7776.0,0.7776000000000001,chicken
39709,United Republic of Tanzania,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,10000.0,1.0,duck
39712,United Republic of Tanzania,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,215.0,21.5,goat
39715,United Republic of Tanzania,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,1168.0,116.8,pig
39718,United Republic of Tanzania,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,200.0,20.0,sheep
40007,United States of America,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,2554.0,255.4,horse
40034,United States of America,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,3703.0,370.3,cattle
40037,United States of America,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,20532.0,2.0532000000000004,chicken
40040,United States of America,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,23340.0,2.334,duck
40043,United States of America,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,147.0,14.7,goat
40046,United States of America,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,977.0,97.7,pig
40049,United States of America,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,285.0,28.5,sheep
40052,United States of America,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,113761.0,11.376100000000001,"Meat of turkeys, fresh or chilled"
40292,Uruguay,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,2305.0,230.5,horse
40305,Uruguay,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2644.0,264.4,cattle
40308,Uruguay,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,24229.0,2.4229000000000003,chicken
40311,Uruguay,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,839.0,83.9,pig
40314,Uruguay,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,15000.0,1.5,"Meat of rabbits and hares, fresh or chilled"
40317,Uruguay,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,184.0,18.4,sheep
40523,Uzbekistan,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1877.0,187.7,horse
40548,Uzbekistan,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,2100.0,210.0,"Meat of camels, fresh or chilled"
40551,Uzbekistan,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1816.0,181.6,cattle
40554,Uzbekistan,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,19732.0,1.9732,chicken
40557,Uzbekistan,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,1074.0,107.4,pig
40560,Uzbekistan,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,14371.0,1.4371,"Meat of rabbits and hares, fresh or chilled"
40563,Uzbekistan,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,170.0,17.0,sheep
40761,Vanuatu,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1500.0,150.0,horse
40768,Vanuatu,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1900.0,190.0,cattle
40771,Vanuatu,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,10000.0,1.0,chicken
40774,Vanuatu,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,100.0,10.0,goat
40777,Vanuatu,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,514.0,51.4,pig
40900,Venezuela (Bolivarian Republic of),Yield/Carcass Weight,"Meat of buffalo, fresh or chilled",100,2271.0,227.1,buffalo
40903,Venezuela (Bolivarian Republic of),Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2416.0,241.6,cattle
40906,Venezuela (Bolivarian Republic of),Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,19651.0,1.9651,chicken
40911,Venezuela (Bolivarian Republic of),Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,120.0,12.0,goat
40914,Venezuela (Bolivarian Republic of),Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,686.0,68.6,pig
40917,Venezuela (Bolivarian Republic of),Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,20399.0,2.0399000000000003,"Meat of rabbits and hares, fresh or chilled"
40920,Venezuela (Bolivarian Republic of),Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,156.0,15.6,sheep
41132,Viet Nam,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1446.0,144.6,horse
41145,Viet Nam,Yield/Carcass Weight,"Meat of buffalo, fresh or chilled",100,1712.0,171.2,buffalo
41148,Viet Nam,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1393.0,139.3,cattle
41151,Viet Nam,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,18962.0,1.8962,chicken
41154,Viet Nam,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,13641.0,1.3641,duck
41157,Viet Nam,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,150.0,15.0,goat
41160,Viet Nam,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,607.0,60.7,pig
41367,Yemen,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,1602.0,160.2,"Meat of camels, fresh or chilled"
41370,Yemen,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,600.0,60.0,cattle
41373,Yemen,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,10569.0,1.0569000000000002,chicken
41376,Yemen,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,115.0,11.5,goat
41379,Yemen,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,110.0,11.0,sheep
41568,Zambia,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1619.0,161.9,cattle
41571,Zambia,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,10260.0,1.026,chicken
41574,Zambia,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,124.0,12.4,goat
41577,Zambia,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,440.0,44.0,pig
41580,Zambia,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,140.0,14.0,sheep
41807,Zimbabwe,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2757.0,275.7,cattle
41810,Zimbabwe,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,15684.0,1.5684,chicken
41813,Zimbabwe,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,18472.0,1.8472,duck
41816,Zimbabwe,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,120.0,12.0,goat
41819,Zimbabwe,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,565.0,56.5,pig
41822,Zimbabwe,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,706.0,70.6,sheep
41825,Zimbabwe,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,41525.0,4.1525,"Meat of turkeys, fresh or chilled"
